atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
보만다,0,-0.3288,-0.3473,0.9947,0.3771,0.3730,0.0374,-0.1261,0.1277,0.1062,0.9952,0.2094,-0.4293,-0.0256,0.8956,0.2077,0.2094,0.3554,0.5775,-0.5928,0.3102,-0.8279,0.7085,0.5434,0.7958,-0.0937,0.5904,0.1072,0.2094,0.1765,-0.5933,0.5158,-0.0256,0.8061,-0.0937,0.2419,-0.0256,0.7085,0.2094,0.2419,0.8830,0.8807,0.9216,0.9887,-0.0256,-0.2034,0.5434,0.1379,0.8724,-0.1261,0.6232,0.0007,0.5978,-0.0256,0.2094,-0.4923,-0.4181,-0.3612,-0.2589,0.4735,0.7198,0.3730,0.7076,-0.0256,0.9614,-0.4923,0.6933,-0.0937,-0.1261,0.0641,0.9808,0.0767,0.9381,0.8773,-0.0256,0.9829,-0.0937,-0.0006,0.7784,-0.0256,0.5434,-0.4293,0.2094,-0.0955,-0.0256,0.1323,-0.1422,-0.6644,0.9600,0.2233,0.4079,0.7784,0.4489,0.0767,0.2139,0.2209,0.9734,0.7085,-0.0937,0.1072
한카리아스,0.1379,0,0.1097,0.2400,-0.0588,0.3712,-0.1977,-0.1977,0.3693,0.1627,0.4735,0.1379,-0.6644,-0.0955,0.5157,0.7068,0.1379,0.5492,0.2401,-0.6644,0.2401,-0.6644,0.4735,0.4735,0.6745,-0.0955,0.7927,0.0356,0.1379,0.1368,-0.1245,0.9113,0.1379,0.4735,-0.0955,0.2401,0.1379,0.7068,0.1379,0.2401,0.8936,0.4735,1.0000,0.7251,0.1379,0.2044,0.4735,0.1379,1.0000,-0.1977,0.7068,0.1007,0.5550,0.1379,0.1379,-0.3288,-0.1525,-0.1977,-0.0955,0.1379,0.5432,0.4735,0.9288,-0.0942,0.4735,-0.3288,0.7068,-0.3288,0.1379,-0.0955,0.7216,0.0068,0.1379,0.9113,0.1379,0.8919,-0.3288,-0.0707,0.7068,-0.0667,0.8090,-0.3288,0.1379,0.1379,0.1379,-0.1977,0.0212,-0.6644,0.8090,0.0394,0.3335,0.7068,0.5188,0.2401,0.3837,0.1018,0.7967,0.4735,0.0068,0.0356
누리레느,0.3033,-0.2883,0,0.6337,0.5967,-0.3165,0.0068,-0.5621,-0.4000,-0.5621,-0.6644,-0.3569,-0.1236,-0.5903,-0.4474,-0.3288,-0.2267,-0.2217,-0.5621,-0.1236,-0.6239,0.1468,-0.2267,-0.5621,0.1911,-0.3906,0.9700,0.9220,-0.5217,0.0795,-0.4525,-0.3288,0.1357,-0.0550,-0.3569,0.3188,-0.3678,-0.2883,-0.2884,-0.3569,0.9943,-0.3288,0.7000,-0.2800,0.2401,0.3850,0.0068,0.2599,-0.0193,-0.2883,-0.2883,0.0859,-0.2454,1.0000,-0.2883,-0.5217,-0.5047,0.7880,0.0068,0.4735,-0.2858,0.8214,-0.2907,0.8187,-0.5040,0.3139,-0.2883,0.0068,-0.2290,-0.0650,-0.0172,-0.0214,-0.1236,-0.3569,-0.1461,1.0000,-0.2883,0.3794,-0.5621,0.8000,0.2525,0.6879,0.9537,-0.2267,0.7880,-0.3274,0.2601,0.0139,0.6162,0.2145,0.1218,-0.5621,-0.6048,0.3424,-0.0830,-0.5603,-0.0300,0.1468,-0.2267,-0.0955
갑주무사,-0.7205,-0.2267,-0.5051,0,0.3409,0.3424,0.0068,-0.3952,-0.4625,0.4448,0.0068,-0.2267,0.2401,-0.7000,-0.6665,-0.3288,-0.5621,-0.5295,0.1023,0.3357,-0.0597,0.3357,0.3357,-0.5621,-0.1584,-0.3288,-0.4201,-0.3288,-0.1318,-0.7468,-0.4464,-0.5621,-0.1058,0.5093,0.0068,-0.2333,0.7150,0.0068,0.8263,-0.3288,0.9599,0.1023,0.9103,-0.5002,0.2753,0.0918,-0.4667,0.2401,-0.6796,0.0068,-0.0273,-0.7955,-0.7731,0.7696,-0.0955,0.1023,-0.2837,0.6780,-0.4667,0.0173,0.2414,0.6712,0.0391,0.7737,-0.1089,0.9366,0.0068,0.0068,-0.2333,0.8710,-0.7020,0.5093,-0.5621,0.1066,0.4642,0.7424,0.3424,-0.3380,-0.0955,0.8787,-0.2267,0.0068,0.7800,-0.2333,0.5310,0.6788,0.3235,0.0068,-0.2171,-0.2967,0.5307,-0.0955,-0.5139,-0.2333,-0.3288,0.0216,0.9978,0.3357,0.2401,-0.3952
하마돈,-0.3437,0.0434,-0.6478,-0.1843,0,-0.0579,-0.6120,-0.2913,-0.1118,-0.0765,-0.6478,-0.2913,-0.5255,-0.7604,-0.7000,0.0278,-0.6478,-0.2715,0.2777,-0.4145,0.1300,-0.5621,-0.0789,-0.7955,0.0330,0.2777,-0.1134,-0.6120,0.0434,-0.3155,-0.6222,-0.7597,-0.8602,0.2983,0.2777,-0.2056,-0.3245,0.1300,-0.6478,0.6133,0.4501,0.1658,0.8767,-0.0547,0.1168,-0.0106,-0.2056,-0.0192,0.9977,-0.5255,0.1300,-0.7899,-0.4473,-0.2255,0.0434,-0.1470,-0.2526,-0.6478,-0.5255,0.3653,-0.7265,0.7962,-0.4777,-0.4525,-0.5805,-0.1043,0.2532,0.0434,-0.2056,0.4367,-0.7000,-0.1043,-0.5255,-0.3132,0.5601,0.8640,-0.5255,-0.0863,0.3633,-0.7459,0.2232,-0.4145,-0.0824,0.0434,-0.5255,-0.2884,0.2082,-0.4145,0.0509,-0.3521,-0.1992,0.3633,0.2602,-0.2056,0.3770,-0.2040,-0.7000,0.1658,-0.2913,0.2611
루카리오,-0.4923,-0.6644,0.1502,-0.3288,-0.1602,0,0.3712,0.3712,-0.2564,0.2401,0.1379,-0.0955,0.2401,-0.3288,0.2400,0.3712,-0.0955,-0.8746,-0.6644,-0.0955,-0.6644,0.2401,0.0068,0.1379,-0.8365,-0.6644,-0.3338,-0.3288,0.1379,-0.0966,0.1379,-0.1977,-0.0955,0.3712,-0.3288,-0.8977,0.1767,-0.1977,-0.4311,-0.3288,1.0000,0.1379,0.5040,0.0038,0.7068,0.4626,-0.4311,0.3712,0.5111,0.0356,-0.4311,-0.0480,-0.3288,0.3712,0.3712,-0.0955,-0.3288,0.8090,-0.3288,0.4735,0.2092,0.3712,0.2043,0.5714,-0.1977,0.0068,0.0356,-0.3288,0.1379,0.1379,0.2118,0.0068,-0.1977,1.0000,0.1274,1.0000,0.2401,-0.6396,0.2400,0.5321,0.3712,0.0068,0.4484,0.3712,0.1379,-0.1943,0.3712,0.2401,-0.1977,0.1379,0.2314,0.2400,-0.3288,-0.4311,-0.1939,-0.0955,0.3712,0.4735,-0.3288,0.1379
드닐레이브,-0.2589,-0.0955,-0.0955,-0.0955,0.6325,-0.6644,0,-0.4311,-0.0230,-0.3039,0.1379,-0.1977,-0.0955,0.8090,0.3989,0.3712,0.1379,0.0293,-0.3288,0.3424,-0.3288,-0.0955,0.0068,1.0000,0.2079,-0.3288,0.5684,-0.4311,0.1379,0.2557,-0.1245,0.4735,0.4735,0.1379,-0.3288,0.0068,0.1497,0.1379,0.4735,-0.3288,0.9787,0.4735,0.9932,-0.1254,0.1379,0.2292,0.1379,0.1379,0.9937,0.1379,0.1379,0.5270,-0.2454,0.4735,0.1379,0.0068,-0.6192,0.4735,-0.0955,0.1379,0.8805,0.3712,0.8756,0.5727,0.4735,0.6780,-0.3288,-0.3288,0.1379,0.7013,0.2938,0.0068,-0.1977,0.8090,0.7095,0.8919,-0.3288,-0.5373,0.7068,0.9831,0.1379,0.6780,0.9382,0.1379,1.0000,0.1379,0.1379,0.3424,-0.0955,0.0394,0.4735,0.7068,0.0068,0.0068,-0.4273,-0.0293,-0.5657,0.4735,-0.0955,0.0356
브리두라스,-0.0238,-0.0955,0.4735,0.2334,0.1754,-0.6644,0.2401,0,-0.2564,0.3673,-0.0955,-0.0955,0.0068,0.7068,0.9113,-0.3288,0.9113,-0.2530,-0.3288,0.0068,-0.3288,0.2401,0.6780,0.3424,-0.1331,-0.3288,0.2350,-0.0955,0.2400,0.3078,-0.0292,-0.3288,0.4735,0.4735,-0.3288,-0.3288,0.8209,0.1379,0.1379,-0.3288,0.8936,0.4735,0.9932,-0.0381,0.8090,0.5627,0.1379,0.1379,0.8780,0.1379,-0.0955,0.8395,-0.0547,0.2401,0.1379,0.0068,-0.4319,0.1379,-0.0955,0.8090,0.3102,0.4735,0.2043,0.9922,0.1379,0.3424,-0.3288,-0.3288,-0.0955,0.1323,0.7166,0.6780,-0.1977,1.0000,0.8456,0.9498,0.0068,-0.5373,0.9113,0.9705,-0.0955,0.3424,1.0000,0.4735,0.1379,0.1300,0.4735,0.0068,0.1482,0.8090,-0.0020,0.9113,0.0068,-0.3288,-0.3250,-0.0293,0.4735,0.9113,-0.3288,0.3712
타부자고,-0.0852,-0.4897,0.4857,0.4987,0.0307,0.2382,-0.0974,0.2382,0,0.0964,-0.2584,-0.1272,-0.0974,0.3693,0.9878,-0.0250,0.2083,-0.3534,-0.0574,-0.0974,-0.4897,0.4715,0.0756,-0.0112,-0.2866,-0.1542,-0.0203,-0.2584,0.3693,0.2118,0.8276,-0.4897,0.2083,0.2103,-0.3288,-0.4330,0.5725,-0.2564,-0.4173,-0.0626,0.4142,0.2103,0.9173,0.3880,0.2103,0.8687,0.0337,0.4417,0.7395,0.2103,-0.3288,0.8034,0.2887,-0.0974,0.4417,1.0000,0.6534,0.9725,-0.3288,0.8796,0.7133,0.7773,0.7014,0.8826,-0.0526,0.7958,-0.3288,-0.0974,0.3125,0.2751,0.8943,0.2382,0.5423,0.8763,0.5923,0.4444,1.0000,0.0756,0.4555,0.7903,0.3106,0.2382,0.8887,0.7773,0.5423,0.2118,0.7773,-0.0250,-0.0230,0.8178,0.4084,0.7869,-0.0376,-0.4330,-0.3262,0.0174,0.7735,0.0756,0.0068,0.4698
따라큐,-0.0204,-0.3461,0.4735,-0.3965,0.0383,-0.4311,0.1206,-0.3461,-0.2116,0,-0.3288,-0.4311,-0.3288,-0.0369,-0.7622,0.2016,0.1379,-0.6991,-0.5373,0.0068,-0.7955,-0.2267,0.2400,0.4735,-0.2328,-0.3288,0.1871,-0.0706,-0.4062,0.4093,-0.2518,-0.3070,0.1454,0.1379,-0.3288,-0.3288,-0.0784,-0.0955,0.3539,-0.2267,0.5784,-0.1977,0.4975,-0.1989,0.1627,0.2711,-0.0706,0.4735,0.2733,0.1206,-0.1977,0.2406,-0.5861,0.4735,0.1379,-0.0095,0.0358,0.2400,-0.3288,-0.5794,0.2392,0.4735,0.2178,0.9043,0.1236,0.0317,-0.0955,-0.5621,-0.1128,0.3553,-0.3849,0.0068,0.4735,0.2058,0.5318,0.6224,-0.2020,0.4249,0.2016,0.5799,0.2371,-0.3039,0.3424,0.4735,0.4983,0.1732,0.3567,-0.3288,-0.5585,0.1743,0.4232,0.2016,-0.7840,-0.5373,-0.1200,0.5674,-0.3308,0.2647,-0.3039,0.2371
고릴타,-0.7286,-0.5621,0.3712,-0.0955,0.6342,-0.3288,-0.3288,-0.0955,0.2083,0.3424,0,-0.0955,-0.0955,0.2400,-0.5621,-0.0955,0.7068,-0.8746,-0.3288,-0.0955,-0.3288,-0.3288,0.0068,0.9113,-0.7020,0.0068,-0.1118,-0.3288,0.2400,-0.7468,-0.0292,-0.8977,0.7068,0.7068,-0.3288,-0.6644,0.1767,0.1379,0.7068,0.3424,0.9625,0.1379,0.9932,-0.2296,0.4735,0.5627,-0.1977,0.4735,0.9875,0.1379,-0.0955,0.1007,-0.7955,0.4735,0.7068,0.0068,-0.2837,0.1379,-0.5621,0.3891,0.9031,0.8090,-0.4806,0.4748,-0.1906,0.2401,0.0068,-0.3288,0.1379,0.2912,-0.4979,0.0068,0.1379,-0.3288,-0.0172,0.8919,-0.4379,-0.2267,0.3712,0.4608,-0.0955,-0.0955,0.4028,0.4735,0.7068,0.1379,0.3057,-0.3288,-0.0955,0.9113,0.4735,0.3712,-0.7955,-0.6644,-0.1042,0.0068,0.7967,0.2401,0.0068,0.1379
킬가르도,-0.2573,-0.3288,0.2806,0.2400,0.1754,0.0068,-0.0955,0.0068,-0.0250,0.2401,0.0068,0,-0.3288,-0.5621,0.9183,0.2401,-0.0955,-0.3815,0.0068,-0.3288,-0.3288,0.5757,0.0068,0.0068,-0.4686,0.0068,-0.3288,-0.3288,-0.3288,-0.3928,0.4804,-0.3288,0.0068,0.3712,-0.0955,-0.0955,0.2790,-0.3288,-0.3288,0.0068,-0.1877,-0.0955,0.9196,0.1328,0.1379,0.5649,-0.3288,-0.0955,0.6794,-0.0955,-0.0955,0.0758,0.2809,0.0068,-0.0955,1.0000,0.7632,1.0000,-0.0955,0.8090,0.3095,0.7068,0.0717,0.7575,-0.3288,0.9113,-0.3288,-0.3288,0.2401,0.4735,0.2574,0.2401,0.0068,0.3424,0.7747,0.2835,1.0000,0.0068,0.3424,0.4278,0.2401,0.0068,0.9099,0.2401,0.0068,-0.0842,0.7068,0.2401,-0.3288,0.9113,0.4735,0.3424,0.0068,-0.3288,-0.3288,0.0068,0.0068,0.3424,0.2401,0.4735
마스카나,0.2077,0.3712,-0.1573,-0.4311,0.5101,-0.4311,-0.1977,-0.0955,-0.0230,0.1379,-0.1977,0.1379,0,0.4735,-0.0955,-0.4311,0.4735,-0.1746,-0.1977,-0.1977,-0.4311,-0.0955,0.1379,0.8090,-0.5709,-0.1977,-0.1005,0.3712,0.1379,0.4268,-0.3648,-0.4311,0.1379,-0.3288,-0.1977,-0.1977,0.1497,-0.4311,0.3712,0.1379,0.9943,0.1379,0.9932,-0.7985,0.1379,-0.0955,-0.1977,0.1379,0.8700,0.1379,0.1379,0.3340,0.0764,0.1379,0.1379,0.1379,-0.3009,-0.4311,-0.0955,-0.3288,0.7080,0.1379,0.1379,0.2394,-0.1977,0.1379,0.1379,0.1379,-0.0955,-0.3288,-0.0955,0.1379,-0.1977,0.1379,-0.0172,1.0000,0.3712,-0.1977,0.1379,0.2274,-0.4311,0.1379,-0.1977,-0.1977,0.1379,0.1379,0.0212,0.1379,-0.8977,0.1379,0.3390,0.1379,-0.3204,-0.4311,-0.6606,-0.0955,-0.3410,0.4735,0.3712,0.0356
갸라도스,0.0767,0.0068,0.5139,0.8717,0.9975,0.3424,-0.7955,-0.8977,-0.4897,0.1649,-0.2267,0.4735,-0.5621,0,0.2958,-0.0955,0.1379,0.0826,0.3424,0.3424,0.0068,0.1066,0.3424,-0.6644,0.8709,-0.6644,0.9018,-0.5621,-0.0955,0.0224,-0.0240,-0.6644,0.9113,0.3557,0.0068,0.0068,0.9208,0.1379,1.0000,-0.6644,0.8058,0.8090,0.9932,0.5915,0.5732,0.5982,0.4735,0.2400,-0.1022,0.4735,0.0068,0.2976,-0.1399,0.6780,0.1379,-0.2267,-0.5180,0.2400,-0.3288,0.4735,0.4924,1.0000,0.5914,0.9995,0.2400,0.6780,0.0068,0.0068,0.1379,0.6012,0.3624,0.3424,0.5732,0.5732,0.7095,0.9442,0.1066,0.2286,0.0356,0.9891,0.0068,0.6780,0.9623,-0.0955,1.0000,0.9065,0.4067,-0.3288,0.9065,1.0000,0.4397,0.0356,-0.1156,0.3424,-0.1042,-0.5467,0.8874,0.3424,0.0068,0.1379
아머까오,-0.6994,-0.3570,0.5638,0.8790,0.7561,-0.2267,-0.2700,-0.7955,-0.7000,0.9706,0.6780,-0.6986,0.0068,-0.1709,0,0.1066,-0.4623,-0.7955,0.3424,0.1066,-0.7955,0.3424,0.1066,-0.7000,-0.1277,-0.5621,-0.7841,-0.4623,-0.7000,-0.4087,0.5932,-0.7955,-0.4623,0.6890,0.1066,-0.5621,0.3019,-0.3288,0.3027,-0.7955,0.7050,0.5732,0.7157,0.4528,0.9065,0.5982,-0.7955,0.2694,-0.7000,0.4399,-0.4623,0.3583,-0.3830,0.3137,0.5732,0.5409,0.5938,0.1066,-0.4623,-0.0540,0.9953,1.0000,0.9956,0.3210,-0.3288,0.7599,0.4906,-0.2267,0.0043,0.1791,-0.6982,0.8779,0.4735,1.0000,0.1571,0.9488,1.0000,0.1317,-0.6996,0.4983,0.4399,0.1066,1.0000,0.0068,0.1345,0.6780,0.5732,0.0659,-0.7955,0.6040,1.0000,-0.6996,1.0000,-0.5621,-0.7918,0.1423,0.8164,0.1066,-0.0293,0.3027
킬라플로르,-0.4293,-0.8977,0.1379,0.1379,-0.2834,-0.6644,-0.6644,0.1379,-0.1272,-0.1724,-0.1977,-0.4311,0.2401,-0.1977,0.0043,0,-0.1977,0.3917,-0.3288,-0.3288,-0.3288,0.0068,-0.5621,-0.0955,-0.0342,-0.3288,0.1215,-0.6644,-0.1977,-0.2611,0.5449,0.2401,-0.1977,0.1379,0.0068,-0.3288,0.1108,-0.1977,0.0356,0.0068,0.8379,0.4735,0.2400,-0.0381,0.4735,1.0000,0.1379,0.4735,0.2332,-0.1977,0.4735,0.1379,0.5551,0.1379,-0.4311,-0.0095,-0.1805,0.4735,-0.3288,0.1379,0.1379,0.1379,-0.2473,0.0038,0.6116,-0.3288,-0.6644,0.0068,-0.0955,-0.6177,-0.0955,-0.3288,0.1379,0.5732,-0.2505,0.8534,0.5757,-0.2624,0.7068,-0.3000,0.4735,-0.3288,0.2394,0.1379,-0.0955,-0.4311,0.1379,0.0068,0.5076,0.4735,0.0034,0.7068,-0.4880,-0.3288,-0.0917,-0.5621,-0.3410,-0.0955,-0.5621,0.1379
대쓰여너,-0.2573,-0.3288,0.2400,0.4735,0.5967,0.0068,-0.3288,-0.7955,-0.2584,-0.3288,-0.8977,-0.1977,-0.5621,-0.3288,0.5732,-0.0955,0,-0.0197,0.2401,-0.3288,-0.0955,0.0068,0.0068,-0.5621,0.4412,-0.6644,0.4685,-0.5621,0.4735,0.0624,0.3781,-0.0955,0.0066,-0.0955,-0.3288,0.2401,0.3019,0.2401,0.4735,-0.3288,0.2229,0.1379,0.8910,0.4079,0.1379,0.7847,0.3712,0.1379,0.2332,0.2401,-0.0955,0.5270,-0.2454,-0.5621,0.3712,0.0068,-0.1805,0.6780,-0.3288,0.4735,-0.7252,0.7068,-0.2624,0.8902,0.2040,0.3424,0.2401,-0.3288,0.0043,0.8536,0.4801,0.0068,0.1379,0.2400,0.7095,0.2835,-0.5621,0.0068,0.1379,0.9036,0.2401,0.0068,1.0000,-0.3288,0.9065,-0.3175,0.4735,-0.0955,0.1379,0.5079,-0.0955,0.1379,0.5188,0.2401,-0.0830,0.0068,0.9111,0.3424,-0.0955,0.1379
리자몽,-0.2787,-0.6148,0.0634,0.4817,0.1951,0.8321,-0.0729,0.0852,0.1133,0.7394,0.9313,0.2136,-0.0724,-0.1482,0.8321,-0.5365,-0.2504,0,-0.6413,-0.3288,-0.5781,0.2632,0.4960,0.0852,0.6412,-0.6413,0.2351,0.1609,0.3943,0.0902,0.4947,-0.3815,-0.1746,0.7299,0.0293,-0.4751,-0.0973,-0.1219,0.0587,-0.3815,0.5871,0.2136,-0.2699,0.7887,0.4960,0.9556,0.0275,-0.1219,-0.1104,-0.1219,-0.3068,0.1415,0.0037,0.2136,-0.2504,-0.3057,0.7257,0.6541,-0.3057,0.7299,0.4110,0.8522,0.7453,0.2087,0.9089,-0.2530,0.0587,0.0826,-0.0729,-0.5854,0.7542,0.3272,0.5492,0.8321,0.2854,0.7275,1.0000,-0.0481,0.0852,-0.1095,-0.1746,-0.3288,0.0901,0.1609,0.1609,0.4899,0.4056,0.2632,0.0061,0.1156,0.5492,0.0852,-0.1482,-0.2125,-0.7238,0.1248,0.4578,0.4960,-0.0014,0.1609
포푸니크,-0.4923,-0.4311,0.4735,-0.1619,-0.3935,0.3712,0.1379,0.1379,0.0673,0.4561,0.1379,-0.0955,-0.0955,-0.3288,-0.3288,0.1379,-0.4311,0.3943,0,0.2401,-0.1977,0.4735,-0.1977,0.4735,0.0969,0.1379,0.1292,0.3712,-0.4311,-0.3299,0.1379,0.1379,0.1379,0.7068,0.4735,-0.1977,0.6798,0.1379,-0.1977,0.4735,1.0000,0.1379,0.3438,0.1379,0.4735,0.7735,-0.4311,0.0356,0.5513,0.0356,0.1379,-0.0955,-0.3475,0.7068,0.3712,0.3712,-0.0494,0.7068,-0.3288,-0.4311,0.7080,0.8090,0.1227,0.9041,0.1379,-0.1977,0.0356,0.4735,0.3712,0.1379,-0.3570,-0.1977,0.1379,0.9932,-0.4311,0.9057,0.7068,0.5732,-0.3288,0.5609,0.9113,0.2401,0.3408,-0.1977,0.1379,-0.2056,-0.1977,0.4735,0.1379,0.8090,0.2314,-0.3288,0.0152,0.3712,0.0394,0.3351,0.1379,-0.1977,-0.4311,-0.3288
개굴닌자,0.4428,0.3712,-0.1573,-0.4975,0.2611,-0.1977,-0.3288,-0.0955,-0.0230,-0.0955,-0.1977,0.1379,-0.0955,-0.3288,0.0043,0.1379,0.1379,0.1379,-0.4311,0,-0.1977,0.1379,0.1379,-0.0955,0.0033,-0.1977,0.4571,0.1379,0.1379,0.3078,-0.3648,0.1379,0.2400,-0.0955,0.1379,0.1379,0.2472,0.0356,0.1379,-0.1977,0.9080,0.4735,0.8910,-0.2382,0.1379,-0.0708,0.1379,0.1379,-0.3134,0.1379,0.1379,0.2400,0.1379,0.1379,0.1379,-0.0955,-0.3009,0.5732,-0.3288,0.1379,-0.0252,0.4735,0.2043,0.0038,-0.1977,1.0000,0.1379,0.1379,-0.3288,-0.1034,0.2118,0.1379,-0.1977,0.1379,0.3183,0.9971,0.3712,-0.6396,0.1379,0.7721,0.3712,0.8090,-0.3288,-0.1977,0.5732,-0.4198,0.1379,0.4735,0.1379,0.1379,0.1379,0.1379,0.1379,0.7068,0.3712,-0.0955,0.1379,0.4735,0.1379,0.1379
에이스번,-0.1906,-0.4311,0.3431,0.0000,-0.1812,0.3712,0.1379,0.1379,0.3693,0.8090,0.1379,0.1379,0.2401,-0.0955,0.8090,0.1379,-0.1977,0.5505,-0.0955,-0.0955,0,0.9113,0.4735,0.1379,0.6700,0.1379,0.2350,0.3712,0.1379,-0.0406,0.7800,0.4735,-0.1977,0.7068,0.4735,0.4735,0.0474,0.1379,-0.4311,0.4735,0.8942,0.1379,0.2400,0.7656,0.7068,0.9906,0.4735,0.3712,0.5513,0.0356,0.1379,0.1007,-0.0139,0.3712,0.0356,0.3712,0.7972,0.8090,-0.3288,0.9113,0.7080,0.7068,0.4377,0.2394,0.8090,0.1379,0.0356,0.4735,0.3712,0.1379,0.7166,0.4735,0.1379,0.7068,0.5398,0.6614,1.0000,0.1379,0.4735,-0.0667,0.1379,-0.3288,0.0672,0.7068,0.1379,0.1379,0.5901,0.8090,0.4735,0.1379,0.2314,0.4735,0.3712,0.7068,0.0394,0.3351,0.1554,0.4735,0.2401,0.1379
알로라 나인테일,0.6063,0.3712,-0.0241,-0.4975,0.4735,-0.4311,-0.1977,-0.4311,-0.5920,0.2400,0.1379,-0.6644,0.0068,0.0043,-0.3288,-0.0955,-0.0955,-0.4080,-0.5621,-0.3288,-0.8977,0,0.2400,0.2400,-0.7955,0.1379,-0.3338,0.3712,-0.4311,0.6434,-0.6629,-0.8977,-0.3288,-0.6644,-0.5621,-0.4311,-0.8859,-0.4311,-0.0955,-0.2267,0.9932,0.1379,-0.7000,-0.8390,0.4735,0.0542,-0.4311,0.1379,0.2921,-0.0955,-0.0955,0.2931,0.4120,0.4735,-0.1977,-0.0955,-0.2857,-0.3288,-0.3288,-0.6644,0.7080,0.9113,0.1379,0.0002,-0.1906,0.1066,-0.4311,-0.3288,-0.6644,-0.6688,-0.1879,0.5732,0.1379,0.1379,-0.4838,1.0000,0.3424,-0.0707,-0.0955,-0.2331,-0.0955,-0.2267,0.2209,0.2400,0.3027,0.4735,0.2400,0.0659,-0.6644,-0.0591,0.4735,-0.0955,-0.7213,-0.8977,-0.8977,-0.1316,-0.6766,0.2400,-0.2267,0.1379
에써르(수컷),-0.7256,-0.5621,0.2400,-0.4975,0.0277,-0.0955,-0.0955,-0.5621,-0.0267,-0.2267,-0.0955,-0.0955,-0.3288,-0.3288,0.0043,0.4735,-0.0955,-0.5396,-0.0955,-0.3288,-0.5621,-0.2267,0,0.1379,-0.7955,-0.3288,-0.0005,-0.3288,-0.0955,-0.1607,-0.6629,-0.0955,-0.0955,-0.4311,0.0068,-0.5621,-0.2856,0.1379,0.1379,-0.2267,-0.5232,0.1379,0.5732,-0.0049,-0.4311,0.0542,-0.0955,0.1379,0.0459,0.1379,-0.0955,0.2931,-0.7528,0.1379,-0.0955,-0.5621,-0.2857,0.2400,-0.5621,0.4735,0.2838,0.8090,0.5384,0.5992,-0.0955,0.0068,-0.0955,-0.2267,-0.7955,-0.5185,0.2118,0.3424,-0.1977,0.4735,0.2817,0.0366,0.0068,-0.0707,0.4735,0.2950,-0.4311,-0.3288,-0.3288,0.2400,0.2400,-0.0955,0.2400,0.0068,-0.4207,0.0394,0.0987,0.4735,-0.3288,-0.5621,-0.3375,-0.1316,0.1432,0.9065,-0.2267,0.1379
워시로토무,-0.4922,-0.5621,0.4735,0.4735,1.0000,-0.3288,-0.7955,-0.3288,0.0932,-0.5621,-0.8977,-0.0955,-0.7955,0.3712,0.9932,-0.0955,0.4735,-0.2530,-0.5621,0.0068,-0.3288,-0.2267,-0.3288,0,-0.1277,-0.3288,0.8900,-0.7955,0.2400,-0.3952,-0.4959,0.2401,0.8090,0.2400,0.0068,0.0068,0.4850,0.3712,0.5732,0.0068,0.2970,0.4735,0.9932,0.4079,0.2400,0.2961,0.1379,0.4735,0.2986,0.8090,0.1379,0.9254,-0.0547,0.8090,0.1379,-0.5621,-0.5180,0.9065,-0.5621,0.4735,-0.7252,0.8090,-0.6518,0.9928,-0.1977,0.3424,0.3424,0.0068,-0.7955,-0.1034,0.9474,-0.3288,0.1379,-0.5621,0.2817,0.6614,-0.7955,-0.2624,0.4735,0.9831,0.7068,0.3424,0.8400,0.2400,0.9113,-0.0955,0.0723,0.3424,0.4735,0.8090,-0.7955,0.4735,0.0068,0.2401,-0.0830,-0.5103,0.8090,0.2400,-0.3288,-0.5621
